1_41 4_56
1_43 1_43 4_5
4_77 4_77
1_48 4_63 4_50
4_73 4_73 2_81
1_4 1_4
3_19 3_19
0_8 3_34
3_15 3_15 2_99
0_7 0_7
2_87 2_87
3_16 3_16
2_81 2_81
0_3 0_3
1_9 3_50
0_23 0_23
0_22 0_22
0_24 0_24
0_26 4_81
1_30 1_30
4_8 4_8
2_84 2_84
4_5 1_43
1_53 1_53
1_52 0_22
1_51 1_51
4_72 3_63
4_63 4_63
0_13 1_83
3_60 4_99
3_62 2_90
3_63 2_84 4_72
3_67 4_77
1_87 1_87
3_94 3_94
3_96 0_23
1_62 0_24
1_67 2_49 3_25
0_0 0_0
1_69 1_69
3_78 0_3
3_14 3_14
3_71 3_71
4_17 1_24
4_11 4_11
4_95 3_49
4_99 4_99
2_70 1_18
2_75 2_75
0_46 3_14 2_16
0_45 0_45
0_41 2_11
0_40 4_82
4_48 4_48
3_42 1_30
2_9 4_81
1_70 3_19
3_49 3_49 4_95
4_82 4_82
4_81 4_81 2_9
4_89 2_92
2_61 3_49
2_64 4_48
0_77 3_22 3_59
3_51 0_0
3_50 3_50 4_8
3_53 3_53
3_54 0_89
3_59 0_77
0_92 3_0
4_38 0_30
4_37 1_51
0_65 0_65
3_0 3_0
3_2 3_2
0_60 2_6 1_53
3_9 3_9
3_8 4_11
2_6 2_6
2_7 2_7
2_50 1_92
1_19 3_15
1_18 1_18
4_21 0_16
2_39 1_22
0_82 1_43
1_11 1_11
1_17 0_16
1_16 2_75
1_14 1_14
3_24 0_45
3_25 3_25
3_22 3_22
3_28 2_7
0_12 0_12
1_83 1_83
0_14 2_87
0_16 0_16 4_21
0_17 1_4
2_49 2_49
2_45 3_71
2_44 1_11
4_50 1_48
4_51 3_2
4_56 4_56
2_25 0_12
2_24 3_94
2_23 2_23
0_89 0_89
3_34 3_34 4_73
4_16 1_87
3_38 3_38
1_92 1_92
1_90 2_99
1_97 2_36 3_38
2_36 2_36
4_41 2_91
4_40 2_23
4_46 3_53
2_13 0_7
2_11 2_11
2_16 0_46
2_14 3_16
2_92 2_92
2_90 2_90
2_91 2_91
2_99 2_99 3_15 1_14
0_38 3_9 1_69
0_30 0_30
1_26 0_65
1_24 1_24
1_22 1_22
