0_8 1 0 1 0 1 0 1 1 1 1
0_9 1 0 1 0 1 0 0 1 0 1
0_6 1 1 0 1 1 1 1 0 0 0
0_7 0 1 1 1 1 1 0 0 0 0
0_4 0 1 1 1 1 0 1 0 1 0
0_5 1 1 1 0 1 0 1 1 0 0
0_2 1 0 1 0 0 1 0 0 0 1
0_3 1 1 1 0 0 0 0 1 1 0
0_0 0 0 1 1 1 0 1 0 0 0
0_1 1 1 0 1 0 1 0 0 1 1
0_29 0 0 0 1 0 1 0 0 1 1
0_28 1 0 1 0 1 1 0 1 1 0
0_21 1 1 0 0 0 0 0 0 0 1
0_20 0 1 0 0 0 1 1 0 1 0
0_23 1 1 1 0 0 0 1 1 0 0
0_22 0 1 0 0 0 0 1 1 1 0
0_25 0 1 1 1 0 0 1 0 1 1
0_24 1 0 0 1 0 1 0 0 0 1
0_27 0 0 1 1 0 1 0 0 1 0
0_26 1 1 1 1 1 0 0 0 1 0
0_58 0 0 0 0 0 1 1 1 1 1
0_59 0 0 0 1 1 1 1 0 1 0
0_54 1 0 1 0 1 1 0 1 1 1
0_55 1 0 0 0 1 0 1 1 0 1
0_56 0 1 0 0 0 1 1 1 1 1
0_57 1 0 0 0 0 1 1 1 1 1
0_50 0 0 1 0 0 0 0 1 1 1
0_51 1 0 1 1 1 1 0 1 0 1
0_52 1 0 1 1 0 0 1 1 1 0
0_53 1 0 1 0 0 1 0 0 1 0
0_49 1 0 1 0 0 1 1 1 0 0
0_48 1 1 1 1 0 0 1 0 0 1
0_47 0 0 1 0 1 1 1 0 1 1
0_46 0 0 0 0 1 1 1 1 0 0
0_45 1 1 0 1 0 0 1 0 0 0
0_44 0 0 1 1 1 1 1 0 0 0
0_43 0 1 0 1 1 1 1 1 0 0
0_42 0 1 0 0 1 1 1 0 1 0
0_41 0 0 1 0 1 1 1 0 1 1
0_40 1 0 1 1 1 0 1 1 1 1
0_78 1 0 1 0 1 0 0 0 0 1
0_79 0 1 1 1 0 0 0 1 0 1
0_72 0 1 0 1 0 0 1 0 1 0
0_73 1 1 1 0 0 0 0 1 1 0
0_70 1 1 0 1 1 0 1 0 0 0
0_71 1 0 0 0 1 0 1 1 1 1
0_76 1 0 1 0 1 1 1 1 0 0
0_77 0 1 1 0 0 1 1 0 1 0
0_74 1 0 1 0 0 1 0 0 1 0
0_75 1 0 0 0 1 1 1 0 0 0
0_98 0 1 1 1 1 1 0 0 0 0
0_99 1 0 1 0 1 1 0 0 0 1
0_90 0 0 1 1 1 1 1 0 0 1
0_91 0 1 1 1 0 1 1 0 1 0
0_92 1 1 1 1 0 1 0 1 1 0
0_93 1 1 0 1 1 1 0 0 1 1
0_94 0 1 0 1 1 1 1 1 1 0
0_95 0 0 1 0 0 1 1 0 0 1
0_96 1 0 1 0 0 1 0 0 1 1
0_97 0 1 1 0 1 1 0 0 0 1
0_65 1 0 0 0 1 1 0 1 1 1
0_64 1 1 0 0 1 1 0 1 1 0
0_67 0 1 1 1 1 1 1 0 0 0
0_66 1 0 0 0 0 1 0 1 0 1
0_61 1 0 1 1 0 1 1 1 1 0
0_60 0 1 1 0 0 1 1 1 0 0
0_63 0 0 0 0 1 1 1 0 0 1
0_62 0 0 0 1 1 1 1 1 1 1
0_69 1 1 1 0 0 0 1 0 0 1
0_68 0 1 0 0 0 0 1 1 0 1
0_89 0 1 1 1 1 1 1 0 0 0
0_88 1 1 0 0 1 0 0 0 1 0
0_83 1 0 0 1 1 0 0 1 0 1
0_82 1 1 0 0 0 1 1 1 1 0
0_81 1 0 0 1 0 0 1 0 1 0
0_80 0 0 1 1 0 1 0 1 0 0
0_87 0 1 0 1 0 1 0 1 0 0
0_86 0 0 1 0 1 0 1 0 0 1
0_85 1 1 0 0 1 0 1 0 0 1
0_84 1 0 0 1 0 0 0 1 1 1
0_10 1 0 1 0 0 1 0 0 1 1
0_11 0 1 0 0 0 1 0 1 0 1
0_12 1 0 0 1 0 1 1 1 1 0
0_13 0 1 0 1 0 1 0 1 1 0
0_14 0 1 1 1 1 0 0 0 0 1
0_15 1 1 0 0 0 0 1 1 0 1
0_16 0 1 1 1 1 1 0 0 0 0
0_17 1 0 1 0 1 0 1 0 1 0
0_18 1 0 1 1 0 1 1 1 1 1
0_19 1 0 0 1 1 1 1 0 0 1
0_38 1 0 1 1 0 0 0 1 0 1
0_39 0 1 1 0 1 1 0 1 0 1
0_36 0 1 1 1 0 1 0 0 1 1
0_37 0 1 0 1 1 1 1 0 1 0
0_34 0 0 0 1 1 1 1 0 0 1
0_35 0 1 0 1 1 0 0 1 0 0
0_32 0 1 1 1 0 1 0 0 0 0
0_33 0 0 1 1 0 0 1 1 0 0
0_30 0 0 1 0 1 0 1 0 1 1
0_31 0 0 1 0 1 0 0 1 0 0
