4_78 1 0 0 1 1 0 1 0 0 0
4_79 1 1 1 1 0 0 0 0 0 0
4_76 0 0 1 0 0 1 1 1 1 1
4_77 1 0 1 0 1 0 1 1 0 0
4_74 1 1 1 0 1 1 1 0 1 0
4_75 0 0 1 1 0 1 0 1 1 0
4_72 1 0 1 0 1 1 0 0 0 0
4_73 0 1 0 1 1 1 1 0 1 0
4_70 1 1 1 1 0 0 0 1 0 0
4_71 1 1 0 1 0 0 0 1 0 1
4_8 1 0 0 0 0 0 1 1 1 1
4_9 1 1 1 1 0 1 1 0 0 0
4_2 1 1 1 0 1 0 1 0 1 0
4_3 1 1 0 0 1 1 0 1 0 0
4_0 0 0 1 0 1 1 0 1 1 0
4_1 0 0 0 0 1 1 1 1 0 1
4_6 0 1 0 0 0 0 1 1 0 1
4_7 1 0 1 1 0 0 1 1 1 1
4_4 1 1 0 0 1 1 0 0 0 0
4_5 0 1 0 0 0 0 1 1 1 0
4_69 0 0 1 0 1 0 0 0 0 1
4_68 0 1 1 1 0 0 1 1 0 0
4_61 1 1 1 0 1 1 1 0 1 0
4_60 0 1 1 0 1 0 0 0 0 1
4_63 0 1 1 0 0 0 0 1 1 0
4_62 1 1 1 1 0 0 1 0 0 1
4_65 1 0 1 1 0 1 0 0 0 1
4_64 1 0 1 0 0 1 1 1 0 0
4_67 0 0 0 1 1 1 0 1 0 1
4_66 0 0 0 1 1 0 0 1 1 1
4_18 0 0 1 0 1 1 0 0 1 1
4_19 0 1 1 0 1 1 0 0 1 0
4_14 0 1 0 1 1 1 0 0 0 1
4_15 0 0 0 1 1 1 0 0 1 0
4_16 1 1 0 1 0 1 1 0 1 1
4_17 1 1 1 0 1 0 1 1 0 0
4_10 0 0 0 1 0 0 0 0 0 1
4_11 1 1 1 1 1 1 0 1 0 0
4_12 0 0 0 1 1 0 0 1 1 1
4_13 0 0 0 1 1 1 1 0 0 0
4_94 0 0 1 1 1 1 1 1 0 1
4_95 1 1 0 1 0 1 0 0 1 1
4_96 1 0 0 1 1 0 1 1 0 0
4_97 1 0 0 1 1 0 1 1 1 0
4_90 1 0 0 0 0 1 0 1 1 0
4_91 0 0 1 0 0 0 0 1 1 1
4_92 0 1 0 0 1 1 0 0 0 0
4_93 0 0 1 0 1 0 1 0 1 0
4_98 0 1 0 0 1 1 0 0 0 1
4_99 1 1 0 0 0 0 0 1 1 1
4_87 0 1 0 1 0 1 1 0 0 1
4_86 1 0 1 1 0 0 1 0 0 0
4_85 1 1 0 1 0 0 0 0 1 0
4_84 1 1 0 0 0 0 1 1 0 1
4_83 0 1 1 1 1 0 1 0 1 1
4_82 0 0 1 1 0 1 1 1 1 0
4_81 1 0 0 0 1 0 1 0 0 1
4_80 0 1 0 0 0 1 0 0 1 1
4_89 1 1 0 0 1 0 0 0 1 1
4_88 1 1 1 1 0 1 0 1 1 0
4_38 0 0 1 1 0 0 0 0 1 1
4_39 1 0 1 1 0 0 1 1 0 1
4_32 1 0 1 0 0 0 0 1 1 0
4_33 0 1 1 1 1 0 1 0 1 1
4_30 0 1 1 0 0 1 1 0 0 0
4_31 0 0 1 1 1 1 0 1 1 0
4_36 1 1 0 1 1 0 0 0 0 1
4_37 1 0 0 0 0 1 0 1 1 0
4_34 1 0 0 1 1 0 1 0 0 1
4_35 0 0 1 1 0 1 0 0 0 1
4_25 1 1 1 0 0 1 0 0 1 1
4_24 0 1 1 1 1 0 0 0 0 1
4_27 0 0 1 0 1 0 1 0 1 1
4_26 1 0 0 0 0 1 0 0 1 1
4_21 1 1 1 0 0 0 1 1 1 0
4_20 0 0 1 0 1 1 1 0 0 0
4_23 1 0 1 1 0 0 0 0 1 0
4_22 1 1 0 0 0 1 0 1 1 1
4_29 0 1 1 1 0 1 1 1 1 0
4_28 0 1 1 0 1 1 1 0 1 0
4_50 0 0 0 1 1 1 0 1 0 1
4_51 0 1 1 1 0 1 0 0 1 0
4_52 1 0 1 0 1 0 0 1 1 0
4_53 1 1 0 0 1 0 0 0 1 1
4_54 1 0 0 0 0 0 1 1 0 1
4_55 0 1 1 0 1 1 1 0 0 1
4_56 1 0 1 0 0 1 1 1 0 1
4_57 1 1 0 0 0 0 0 1 1 1
4_58 1 0 1 1 1 0 0 0 1 0
4_59 1 0 1 0 1 0 0 1 0 1
4_43 0 1 0 0 1 0 0 1 1 1
4_42 0 0 1 1 0 0 0 0 0 1
4_41 1 0 0 0 1 0 0 0 1 1
4_40 1 0 0 0 1 1 0 0 1 1
4_47 1 1 0 0 1 1 0 1 0 1
4_46 1 0 1 1 0 1 1 1 0 0
4_45 0 1 0 0 1 1 1 1 1 0
4_44 0 1 1 1 1 0 1 0 0 1
4_49 0 1 0 0 0 0 1 1 1 0
4_48 0 1 0 1 1 1 0 0 1 0
